energy,Si,CdTe
10,0.996810353284,1.0
11,0.986781025607,1.0
12,0.964600245893,1.0
13,0.928403450866,1.0
14,0.879927381609,0.999999999954
15,0.82298397833,0.999999997464
16,0.761756633747,0.999999941877
17,0.699765799725,0.99999929887
18,0.639543418346,0.999994791948
19,0.582679947016,0.999973226444
20,0.530084722576,0.999896521047
21,0.482167193738,0.999682279206
22,0.438808028696,0.999183241599
23,0.39976905031,0.998180536626
24,0.36498178029,0.996419196975
25,0.333837655591,0.993611071136
26,0.306039723951,0.98949033907
27,0.28091496048,0.999996712545
28,0.258252764847,0.999989195474
29,0.238085671806,0.999969873733
30,0.219890344002,0.999925750688
31,0.203838772227,0.999836270678
32,0.189280228335,0.999999718159
33,0.176407365352,0.999999096265
34,0.164699723582,0.999997431847
35,0.154250579852,0.999993393909
36,0.144772885996,0.999984483176
37,0.136178266179,0.999966402824
38,0.128470834472,0.999932252244
39,0.121353182977,0.999871877998
40,0.114909384581,0.999770832044
41,0.108965504589,0.999610266432
42,0.103471323165,0.999366266027
43,0.0985922086187,0.999007012914
44,0.0940357187395,0.998500303587
45,0.0898253075013,0.997808645781
46,0.0860619282996,0.996891883323
47,0.0825251464731,0.995708312336
48,0.0792221361715,0.99421624911
49,0.0762850895692,0.992376238703
50,0.0735087513378,0.99014932335
51,0.0708816729799,0.987500850234
52,0.0685342089401,0.984394808652
53,0.0663350793712,0.980808410593
54,0.0642432803535,0.976722898152
55,0.0622943717088,0.972118590654
56,0.0605400999013,0.966975662003
57,0.0588634607695,0.961304024434
58,0.0572598276989,0.955106523582
59,0.0557876645243,0.948402722266
60,0.0544350869489,0.941207649193
61,0.05313594826,0.933527558998
62,0.0518873543731,0.925382554005
63,0.0507351007527,0.916777271447
64,0.0496781977075,0.907731738143
65,0.0486586358539,0.898292981456
66,0.0476745736618,0.888489963146
67,0.0467377704269,0.878355855582
68,0.0459030857989,0.867936277796
69,0.0450948222721,0.857244633967
70,0.0443117904879,0.846311103148
71,0.0435528700364,0.835165394957
72,0.0428544627683,0.82387458705
73,0.0422070605929,0.812462635277
74,0.0415778395959,0.800924990005
75,0.0409660598351,0.78928709137
76,0.0403710205635,0.777573140369
77,0.0398254124189,0.765797657089
78,0.0393144840952,0.753985141913
79,0.0388163642081,0.742161087687
80,0.0383305788084,0.730344415706
81,0.037856677001,0.718552699794
82,0.0374094171061,0.706763746407
83,0.0370011917172,0.694957418587
84,0.0366021468755,0.683221151947
85,0.0362119722481,0.67156784781
86,0.0358303714245,0.660009220234
87,0.0354570611408,0.648555851512
88,0.035116032759,0.637294737242
89,0.0347918236751,0.62618757938
90,0.0344741276157,0.615209742866
91,0.034162744483,0.604367633966
92,0.0338574824102,0.593666847724
93,0.0335581573393,0.583112222619
94,0.0332833587736,0.572786738008
95,0.0330221144453,0.562649181981
96,0.0327655898082,0.552665898214
97,0.0325136522784,0.542839077026
98,0.0322661743,0.533170417637
99,0.032023033106,0.523661168511
100,0.0317892742343,0.514340884175
101,0.0315750015131,0.505266776431
102,0.0313642397607,0.496350563487
103,0.0311568981708,0.487591994179
104,0.0309528891305,0.478990549757
105,0.0307521280792,0.470545469983
106,0.0305545333745,0.4622557774
107,0.0303657622354,0.454163458232
108,0.0301897675243,0.446296891682
109,0.0300163852524,0.438578325494
110,0.0298455533806,0.431006129083
111,0.029677211886,0.423578560528
112,0.0295113026793,0.416293780795
113,0.029347769526,0.409149866817
114,0.0291866467014,0.402145557509
115,0.0290404406459,0.395382078539
116,0.0288962125717,0.388750098946
117,0.0287539191174,0.382247509893
118,0.0286135182301,0.375872173386
119,0.0284749691157,0.369621929363
